subset	layer	step@1	step@5	step@10	agent@1	agent@5	agent@10
hand-crafted	layer_0	1.72 / 1.72	12.07 / 13.79	15.52 / 15.52	34.48 / 34.48	56.90 / 58.62	72.41 / 70.69
hand-crafted	layer_1	1.72 / 1.72	12.07 / 12.07	15.52 / 15.52	34.48 / 34.48	56.90 / 58.62	70.69 / 72.41
hand-crafted	layer_2	0.00 / 1.72	12.07 / 12.07	15.52 / 15.52	34.48 / 34.48	55.17 / 58.62	72.41 / 72.41
hand-crafted	layer_3	0.00 / 1.72	12.07 / 12.07	15.52 / 15.52	34.48 / 34.48	58.62 / 58.62	72.41 / 72.41
hand-crafted	layer_4	0.00 / 0.00	12.07 / 12.07	15.52 / 15.52	34.48 / 34.48	56.90 / 58.62	72.41 / 72.41
hand-crafted	layer_5	0.00 / 0.00	12.07 / 12.07	15.52 / 13.79	34.48 / 34.48	56.90 / 58.62	72.41 / 72.41
hand-crafted	layer_6	0.00 / 0.00	12.07 / 12.07	15.52 / 13.79	34.48 / 34.48	55.17 / 56.90	72.41 / 70.69
hand-crafted	layer_7	0.00 / 0.00	12.07 / 12.07	15.52 / 15.52	34.48 / 34.48	55.17 / 58.62	72.41 / 72.41
hand-crafted	layer_8	0.00 / 0.00	12.07 / 12.07	15.52 / 17.24	34.48 / 34.48	58.62 / 58.62	72.41 / 72.41
hand-crafted	layer_9	0.00 / 0.00	12.07 / 12.07	13.79 / 13.79	34.48 / 34.48	58.62 / 58.62	72.41 / 72.41
hand-crafted	layer_10	0.00 / 0.00	12.07 / 12.07	13.79 / 13.79	34.48 / 34.48	58.62 / 58.62	70.69 / 70.69
hand-crafted	layer_11	0.00 / 0.00	12.07 / 12.07	13.79 / 13.79	34.48 / 34.48	58.62 / 58.62	72.41 / 72.41
hand-crafted	layer_12	0.00 / 0.00	12.07 / 12.07	13.79 / 13.79	34.48 / 34.48	58.62 / 58.62	70.69 / 72.41
hand-crafted	layer_13	0.00 / 0.00	12.07 / 12.07	13.79 / 13.79	34.48 / 34.48	58.62 / 58.62	72.41 / 72.41
hand-crafted	layer_14	0.00 / 0.00	10.34 / 12.07	15.52 / 13.79	34.48 / 34.48	58.62 / 58.62	70.69 / 70.69
hand-crafted	layer_15	0.00 / 0.00	10.34 / 12.07	15.52 / 15.52	34.48 / 34.48	58.62 / 58.62	72.41 / 70.69
hand-crafted	layer_16	0.00 / 0.00	12.07 / 12.07	13.79 / 13.79	34.48 / 34.48	58.62 / 56.90	72.41 / 72.41
hand-crafted	layer_17	0.00 / 0.00	12.07 / 12.07	13.79 / 13.79	34.48 / 34.48	56.90 / 56.90	72.41 / 70.69
hand-crafted	layer_18	0.00 / 0.00	12.07 / 12.07	13.79 / 13.79	34.48 / 34.48	56.90 / 56.90	72.41 / 72.41
hand-crafted	layer_19	0.00 / 0.00	12.07 / 12.07	13.79 / 13.79	34.48 / 34.48	56.90 / 53.45	72.41 / 72.41
hand-crafted	layer_20	0.00 / 0.00	12.07 / 12.07	13.79 / 13.79	34.48 / 34.48	55.17 / 55.17	72.41 / 72.41
hand-crafted	layer_21	0.00 / 0.00	12.07 / 12.07	13.79 / 13.79	34.48 / 34.48	56.90 / 55.17	72.41 / 70.69
hand-crafted	layer_22	0.00 / 0.00	12.07 / 12.07	13.79 / 13.79	34.48 / 34.48	56.90 / 55.17	72.41 / 70.69
hand-crafted	layer_23	0.00 / 0.00	12.07 / 12.07	13.79 / 13.79	34.48 / 34.48	55.17 / 53.45	72.41 / 72.41
hand-crafted	layer_24	0.00 / 0.00	12.07 / 12.07	13.79 / 13.79	34.48 / 34.48	55.17 / 51.72	70.69 / 70.69
