strategy	config	step_acc	agent_acc
layer	lm_head	0.6349	0.8730
attn_weights	q/18	0.6111	0.8651
attn_weights	k/26	0.6111	0.8968
attn_weights	k/23	0.6111	0.8651
attn_weights	q/1	0.6111	0.8571
attn_weights	k/20	0.6032	0.8492
attn_weights	q/2	0.6032	0.8571
attn_weights	k/2	0.6032	0.8492
attn_weights	q/16	0.6032	0.8571
attn	attn/21	0.5952	0.8651
attn_weights	q/20	0.5952	0.8413
attn_weights	k/4	0.5952	0.8254
attn_weights	q/23	0.5873	0.8810
attn_weights	q/17	0.5873	0.8571
attn_weights	k/18	0.5873	0.8571
attn_weights	k/14	0.5873	0.8651
attn_weights	k/1	0.5873	0.8254
attn_weights	v/16	0.5794	0.8333
attn_weights	v/11	0.5794	0.8413
attn_weights	o/15	0.5794	0.8413
attn_weights	o/16	0.5794	0.8571
attn_weights	o/14	0.5794	0.8571
attn_weights	k/5	0.5794	0.8254
attn	attn/16	0.5794	0.8333
attn	attn/15	0.5794	0.8730
attn_weights	k/24	0.5794	0.8651
attn_weights	q/14	0.5794	0.8651
attn_weights	k/17	0.5714	0.8492
attn	attn/18	0.5714	0.8651
attn_weights	k/16	0.5714	0.8254
attn_weights	k/11	0.5714	0.8254
attn_weights	q/5	0.5714	0.8254
attn_weights	v/15	0.5714	0.8571
layer	layer/6	0.5714	0.8492
layer	layer/5	0.5714	0.8492
attn_weights	o/13	0.5714	0.8413
attn_weights	o/5	0.5714	0.8413
attn_weights	v/2	0.5714	0.8333
attn_weights	o/10	0.5714	0.8175
attn	attn/12	0.5635	0.8254
layer	layer/17	0.5635	0.8571
mlp	mlp/6	0.5635	0.8254
mlp_weights	up/6	0.5635	0.8254
attn_weights	v/18	0.5635	0.8492
attn_weights	q/10	0.5635	0.8651
attn	attn/20	0.5635	0.8571
attn	attn/26	0.5635	0.8651
attn	attn/2	0.5635	0.8333
attn	attn/14	0.5635	0.8571
mlp_weights	down/5	0.5635	0.8413
attn_weights	q/24	0.5635	0.8413
attn_weights	q/19	0.5635	0.8651
attn_weights	q/26	0.5635	0.8730
attn_weights	q/13	0.5635	0.8254
attn_weights	v/12	0.5556	0.8333
attn_weights	v/0	0.5556	0.8333
attn_weights	v/21	0.5556	0.8571
attn_weights	v/14	0.5556	0.8492
mlp_weights	gate/7	0.5556	0.8254
mlp_weights	gate/6	0.5556	0.8333
attn	attn/10	0.5556	0.8254
attn_weights	o/27	0.5556	0.8492
attn_weights	k/3	0.5556	0.8413
attn_weights	q/3	0.5556	0.8254
attn_weights	q/21	0.5556	0.8492
attn_weights	o/25	0.5556	0.8492
attn_weights	o/18	0.5556	0.8413
