strategy	config	step_acc	agent_acc
attn_weights	k/15	0.1429	0.3333
attn_weights	k/34	0.1349	0.3333
attn_weights	k/26	0.1349	0.3730
mlp_weights	gate/30	0.1349	0.3571
mlp_weights	up/30	0.1349	0.3492
mlp_weights	gate/35	0.1349	0.3016
attn_weights	k/33	0.1270	0.3571
attn_weights	q/30	0.1270	0.3175
attn_weights	q/33	0.1270	0.3492
attn_weights	k/7	0.1270	0.3968
mlp_weights	up/31	0.1270	0.3333
mlp_weights	gate/32	0.1270	0.3413
attn_weights	v/32	0.1270	0.3175
attn_weights	k/19	0.1270	0.3730
attn_weights	k/9	0.1270	0.4127
attn_weights	o/28	0.1270	0.3175
attn_weights	q/15	0.1270	0.3730
mlp	mlp/32	0.1190	0.3254
mlp	mlp/30	0.1190	0.3254
attn_weights	k/20	0.1190	0.3730
attn_weights	k/30	0.1190	0.3254
mlp	mlp/33	0.1190	0.3333
mlp	mlp/35	0.1190	0.2540
mlp	mlp/29	0.1190	0.3413
attn_weights	v/15	0.1190	0.3254
attn_weights	o/12	0.1190	0.3571
attn_weights	o/13	0.1190	0.3571
layer	layer/31	0.1190	0.3254
attn_weights	o/8	0.1190	0.3492
mlp_weights	gate/25	0.1190	0.3571
mlp_weights	gate/24	0.1190	0.3571
attn_weights	q/14	0.1190	0.3730
mlp_weights	gate/33	0.1190	0.3333
attn_weights	q/22	0.1190	0.3492
attn_weights	q/26	0.1190	0.3492
mlp_weights	up/33	0.1190	0.3254
attn_weights	q/12	0.1190	0.3810
attn	attn/9	0.1190	0.3889
attn	attn/14	0.1190	0.3492
attn_weights	q/7	0.1190	0.3889
layer	layer/15	0.1190	0.3492
attn_weights	o/14	0.1190	0.3413
attn_weights	o/18	0.1190	0.3571
attn	attn/15	0.1190	0.3333
attn	attn/31	0.1190	0.3095
attn_weights	q/9	0.1190	0.3968
attn	attn/10	0.1190	0.3413
mlp_weights	up/32	0.1190	0.3254
attn_weights	q/19	0.1190	0.3810
attn_weights	k/12	0.1190	0.3810
attn_weights	k/18	0.1190	0.3730
attn_weights	k/13	0.1111	0.3730
attn_weights	k/14	0.1111	0.3571
mlp_weights	gate/10	0.1111	0.3810
attn_weights	k/21	0.1111	0.3254
attn_weights	v/6	0.1111	0.3413
attn_weights	v/14	0.1111	0.3413
attn_weights	v/9	0.1111	0.3968
attn	attn/6	0.1111	0.3413
attn	attn/12	0.1111	0.3651
mlp_weights	down/10	0.1111	0.3651
attn_weights	q/20	0.1111	0.3651
attn_weights	q/17	0.1111	0.3571
attn_weights	q/28	0.1111	0.3254
attn_weights	k/2	0.1111	0.3333
attn_weights	q/34	0.1111	0.3095
attn_weights	q/27	0.1111	0.3413
attn_weights	k/11	0.1111	0.3651
mlp_weights	gate/12	0.1111	0.3810
attn_weights	k/22	0.1111	0.3333
