scoring	family	weight	step_acc	agent_acc
mean_dist_l2	central	k/11	0.3492063492063492	0.5238095238095238
mean_dist_l2	central	q/8	0.3492063492063492	0.492063492063492
geom_median_l2	central	q/8	0.3253968253968254	0.4603174603174603
coord_median_l2	central	q/8	0.3253968253968254	0.4603174603174603
mean_dist_l1	central	q/8	0.3253968253968254	0.4603174603174603
mean_dist_l2	central	k/1	0.3253968253968254	0.5396825396825397
mean_dist_l1	central	k/1	0.3174603174603174	0.5158730158730159
coord_median_l1	central	gate/7	0.3095238095238095	0.492063492063492
geom_median_l1	central	gate/7	0.3095238095238095	0.492063492063492
geom_median_l2	central	post_norm/0	0.3095238095238095	0.492063492063492
geom_median_l2	central	in_norm/28	0.3095238095238095	0.5158730158730159
mean_dist_l2	central	v/5	0.3095238095238095	0.4603174603174603
mean_dist_l1	central	in_norm/5	0.3095238095238095	0.4365079365079365
mean_dist_l1	central	gate/7	0.3095238095238095	0.4206349206349206
geom_median_l2	central	k/1	0.3015873015873015	0.4841269841269841
geom_median_l2	central	k/11	0.3015873015873015	0.4603174603174603
geom_median_l2	central	q/29	0.3015873015873015	0.4841269841269841
coord_median_l2	central	post_norm/0	0.3015873015873015	0.4841269841269841
coord_median_l2	central	in_norm/28	0.3015873015873015	0.5079365079365079
coord_median_l2	central	k/11	0.3015873015873015	0.4603174603174603
