scoring	family	weight	step_acc	agent_acc
coord_median_l2	central	in_norm/5	0.5172413793103449	0.8620689655172413
geom_median_l2	central	in_norm/5	0.5172413793103449	0.8793103448275862
coord_median_l2	central	in_norm/11	0.4827586206896552	0.8620689655172413
coord_median_l2	central	o/8	0.4827586206896552	0.8793103448275862
coord_median_l2	central	up/7	0.4827586206896552	0.8103448275862069
geom_median_l1	central	up/7	0.4827586206896552	0.8275862068965517
geom_median_l1	central	gate/14	0.4827586206896552	0.8448275862068966
geom_median_l1	central	k/7	0.4827586206896552	0.8448275862068966
geom_median_l2	central	o/8	0.4827586206896552	0.913793103448276
geom_median_l2	central	up/7	0.4827586206896552	0.8103448275862069
geom_median_l2	central	gate/14	0.4827586206896552	0.8793103448275862
coord_median_l1	central	gate/14	0.4827586206896552	0.8448275862068966
coord_median_l1	central	up/7	0.4827586206896552	0.8275862068965517
geom_median_l1	central	gate/8	0.4655172413793103	0.8275862068965517
geom_median_l1	central	q/13	0.4655172413793103	0.8275862068965517
geom_median_l1	central	up/11	0.4655172413793103	0.896551724137931
geom_median_l1	central	q/6	0.4655172413793103	0.8620689655172413
geom_median_l1	central	o/1	0.4655172413793103	0.8620689655172413
coord_median_l2	central	k/7	0.4655172413793103	0.8793103448275862
coord_median_l2	central	gate/14	0.4655172413793103	0.8793103448275862
