scoring	family	weight	step_acc	agent_acc
knn_k1_norm	knn	down/10	0.3253968253968254	0.4682539682539682
knn_k1_norm	knn	down/23	0.3095238095238095	0.4761904761904761
knn_k1_norm	knn	v/18	0.3015873015873015	0.4444444444444444
knn_k1_norm	knn	v/25	0.2936507936507936	0.4047619047619047
knn_k1_norm	knn	down/12	0.2698412698412698	0.4841269841269841
knn_k3_norm	knn	down/23	0.2698412698412698	0.4285714285714285
knn_k1_norm	knn	v/19	0.2619047619047619	0.4365079365079365
knn_k1_norm	knn	down/14	0.2619047619047619	0.4206349206349206
knn_k1_norm	knn	gate/26	0.2619047619047619	0.3571428571428571
knn_k3_norm	knn	down/24	0.2539682539682539	0.4285714285714285
knn_k1_norm	knn	down/22	0.2539682539682539	0.3412698412698413
knn_k1_norm	knn	down/24	0.2539682539682539	0.4365079365079365
knn_k5_norm	knn	gate/9	0.2539682539682539	0.365079365079365
knn_k1_norm	knn	v/17	0.2539682539682539	0.373015873015873
knn_k1_norm	knn	gate/4	0.2539682539682539	0.4603174603174603
mean_dist_cosine	central	post_norm/9	0.246031746031746	0.3888888888888889
mean_dist_cosine	central	down/15	0.246031746031746	0.4682539682539682
mean_dist_cosine	central	v/7	0.246031746031746	0.3968253968253968
mean_dist_cosine	central	in_norm/9	0.238095238095238	0.4682539682539682
mean_dist_cosine	central	v/8	0.2301587301587301	0.4206349206349206
mean_dist_cosine	central	v/18	0.2222222222222222	0.373015873015873
mean_dist_cosine	central	v/20	0.2222222222222222	0.4285714285714285
mean_dist_cosine	central	in_norm/4	0.2222222222222222	0.4126984126984127
mean_dist_cosine	central	in_norm/18	0.2222222222222222	0.4444444444444444
mean_dist_cosine	central	post_norm/17	0.2222222222222222	0.4047619047619047
mean_dist_cosine	central	down/12	0.2222222222222222	0.492063492063492
mean_dist_cosine	central	v/16	0.2222222222222222	0.3968253968253968
mean_dist_cosine	central	v/9	0.2222222222222222	0.4047619047619047
mean_dist_cosine	central	in_norm/26	0.2142857142857142	0.4126984126984127
mean_dist_cosine	central	v/19	0.2142857142857142	0.3809523809523809
proj_c1_raw	svd	down/18	0.1507936507936507	0.492063492063492
gradnorm_l2	gradnorm	post_norm/29	0.0952380952380952	0.2857142857142857
proj_c2_raw	svd	post_norm/29	0.0873015873015873	0.2777777777777778
proj_c1_cen	svd	down/18	0.0873015873015873	0.3968253968253968
proj_c1_raw	svd	post_norm/29	0.0873015873015873	0.2539682539682539
proj_c4_raw	svd	post_norm/29	0.0793650793650793	0.2698412698412698
proj_c9_raw	svd	post_norm/29	0.0793650793650793	0.2698412698412698
recon_c8_raw	svd	down/28	0.0793650793650793	0.2142857142857142
proj_c1_cen	svd	down/9	0.0793650793650793	0.3571428571428571
recon_c9_raw	svd	down/28	0.0793650793650793	0.2142857142857142
proj_c3_raw	svd	post_norm/29	0.0793650793650793	0.2777777777777778
recon_c1_cen	svd	gate/25	0.0793650793650793	0.2142857142857142
proj_c8_raw	svd	post_norm/29	0.0793650793650793	0.2777777777777778
recon_c5_raw	svd	down/28	0.0793650793650793	0.2063492063492063
proj_c5_raw	svd	post_norm/29	0.0793650793650793	0.2777777777777778
recon_c6_raw	svd	down/28	0.0793650793650793	0.2063492063492063
gradnorm_l2	gradnorm	gate/25	0.0634920634920634	0.2777777777777778
gradnorm_l1	gradnorm	gate/25	0.0634920634920634	0.2857142857142857
gradnorm_l2	gradnorm	post_norm/30	0.0555555555555555	0.3095238095238095
gradnorm_l2	gradnorm	in_norm/28	0.0555555555555555	0.2936507936507936
gradnorm_l1	gradnorm	down/18	0.0555555555555555	0.3333333333333333
gradnorm_l1	gradnorm	gate/22	0.0476190476190476	0.2063492063492063
gradnorm_l2	gradnorm	up/13	0.0476190476190476	0.2777777777777778
gradnorm_l2	gradnorm	up/30	0.0476190476190476	0.2142857142857142
gradnorm_l1	gradnorm	up/13	0.0476190476190476	0.2857142857142857
gradnorm_l1	gradnorm	up/30	0.0476190476190476	0.2222222222222222
gradnorm_l1	gradnorm	gate/29	0.0476190476190476	0.2063492063492063
gradnorm_l1	gradnorm	gate/24	0.0476190476190476	0.3253968253968254
gradnorm_l1	gradnorm	post_norm/28	0.0476190476190476	0.2539682539682539
gradnorm_l2	gradnorm	down/18	0.0476190476190476	0.3253968253968254
