scoring	family	weight	step_acc	agent_acc
gradnorm_l2	gradnorm	in_norm/28	0.5158730158730159	0.8650793650793651
gradnorm_l2	gradnorm	in_norm/7	0.5079365079365079	0.8174603174603174
gradnorm_l2	gradnorm	post_norm/30	0.5079365079365079	0.8174603174603174
gradnorm_l1	gradnorm	gate/28	0.5	0.8015873015873016
gradnorm_l2	gradnorm	gate/28	0.5	0.8015873015873016
gradnorm_l2	gradnorm	in_norm/31	0.492063492063492	0.8174603174603174
gradnorm_l2	gradnorm	o/31	0.492063492063492	0.8253968253968254
gradnorm_l2	gradnorm	k/22	0.4841269841269841	0.7619047619047619
gradnorm_l2	gradnorm	k/27	0.4841269841269841	0.7936507936507936
gradnorm_l1	gradnorm	o/28	0.4841269841269841	0.8015873015873016
gradnorm_l1	gradnorm	k/23	0.4841269841269841	0.8253968253968254
gradnorm_l2	gradnorm	o/22	0.4761904761904761	0.8015873015873016
gradnorm_l2	gradnorm	k/23	0.4761904761904761	0.8015873015873016
gradnorm_l2	gradnorm	o/30	0.4761904761904761	0.8174603174603174
gradnorm_l1	gradnorm	gate/30	0.4682539682539682	0.7936507936507936
gradnorm_l1	gradnorm	o/31	0.4682539682539682	0.8333333333333334
gradnorm_l1	gradnorm	q/31	0.4682539682539682	0.7698412698412699
gradnorm_l1	gradnorm	o/29	0.4682539682539682	0.8333333333333334
gradnorm_l1	gradnorm	down/23	0.4682539682539682	0.8015873015873016
gradnorm_l1	gradnorm	o/30	0.4682539682539682	0.8174603174603174
