scoring	family	weight	step_acc	agent_acc
gradnorm_l1	gradnorm	gate/25	0.293103448275862	0.6724137931034483
gradnorm_l2	gradnorm	gate/25	0.2758620689655172	0.6724137931034483
gradnorm_l1	gradnorm	o/29	0.2758620689655172	0.6206896551724138
gradnorm_l1	gradnorm	up/25	0.2586206896551724	0.6206896551724138
gradnorm_l2	gradnorm	in_norm/28	0.2586206896551724	0.6206896551724138
gradnorm_l1	gradnorm	q/30	0.2413793103448276	0.6206896551724138
gradnorm_l1	gradnorm	gate/27	0.2413793103448276	0.603448275862069
gradnorm_l1	gradnorm	up/26	0.2413793103448276	0.6206896551724138
gradnorm_l1	gradnorm	up/28	0.2413793103448276	0.6551724137931034
gradnorm_l2	gradnorm	up/26	0.2413793103448276	0.6206896551724138
gradnorm_l2	gradnorm	up/28	0.2413793103448276	0.6551724137931034
gradnorm_l2	gradnorm	o/28	0.2413793103448276	0.5862068965517241
gradnorm_l2	gradnorm	o/29	0.2413793103448276	0.603448275862069
gradnorm_l2	gradnorm	up/25	0.2413793103448276	0.6206896551724138
gradnorm_l2	gradnorm	gate/27	0.2413793103448276	0.603448275862069
gradnorm_l1	gradnorm	post_norm/25	0.2241379310344827	0.603448275862069
gradnorm_l1	gradnorm	o/27	0.2241379310344827	0.5862068965517241
gradnorm_l1	gradnorm	gate/23	0.2241379310344827	0.5862068965517241
gradnorm_l1	gradnorm	up/27	0.2241379310344827	0.5689655172413793
gradnorm_l1	gradnorm	q/25	0.2241379310344827	0.5172413793103449
