scoring	family	weight	step_acc	agent_acc
gradnorm_l2	gradnorm	up/7	0.5172413793103449	0.8275862068965517
gradnorm_l2	gradnorm	gate/11	0.5172413793103449	0.8620689655172413
gradnorm_l1	gradnorm	gate/11	0.5	0.8620689655172413
gradnorm_l1	gradnorm	up/7	0.5	0.8275862068965517
gradnorm_l2	gradnorm	q/14	0.5	0.8103448275862069
gradnorm_l2	gradnorm	in_norm/10	0.5	0.8620689655172413
gradnorm_l2	gradnorm	k/7	0.5	0.8448275862068966
gradnorm_l1	gradnorm	in_norm/10	0.4827586206896552	0.8448275862068966
gradnorm_l1	gradnorm	o/2	0.4827586206896552	0.8448275862068966
gradnorm_l1	gradnorm	o/21	0.4827586206896552	0.8448275862068966
gradnorm_l2	gradnorm	in_norm/14	0.4827586206896552	0.8448275862068966
gradnorm_l2	gradnorm	up/9	0.4827586206896552	0.8275862068965517
gradnorm_l2	gradnorm	post_norm/14	0.4827586206896552	0.8448275862068966
gradnorm_l2	gradnorm	gate/13	0.4827586206896552	0.8103448275862069
gradnorm_l2	gradnorm	o/6	0.4827586206896552	0.8448275862068966
gradnorm_l2	gradnorm	k/17	0.4827586206896552	0.8103448275862069
gradnorm_l2	gradnorm	o/15	0.4827586206896552	0.8275862068965517
gradnorm_l2	gradnorm	down/10	0.4827586206896552	0.8275862068965517
gradnorm_l2	gradnorm	in_norm/27	0.4827586206896552	0.8448275862068966
gradnorm_l1	gradnorm	o/15	0.4827586206896552	0.8275862068965517
