scoring	family	weight	step_acc	agent_acc
knn_k1_norm	knn	down/4	0.5952380952380952	0.8412698412698413
knn_k20_norm	knn	down/29	0.5952380952380952	0.7698412698412699
knn_k1_norm	knn	down/27	0.5873015873015873	0.8253968253968254
knn_k1_norm	knn	down/15	0.5873015873015873	0.8174603174603174
knn_k1_norm	knn	in_norm/24	0.5793650793650794	0.8492063492063492
knn_k10_norm	knn	gate/31	0.5793650793650794	0.8492063492063492
knn_k1_norm	knn	gate/26	0.5793650793650794	0.7857142857142857
knn_k10_norm	knn	down/29	0.5793650793650794	0.7777777777777778
knn_k20_norm	knn	v/24	0.5793650793650794	0.8174603174603174
knn_k10_norm	knn	v/24	0.5793650793650794	0.8174603174603174
knn_k1_norm	knn	gate/10	0.5714285714285714	0.8095238095238095
knn_k5_norm	knn	down/29	0.5714285714285714	0.7777777777777778
knn_k5_norm	knn	gate/31	0.5714285714285714	0.8492063492063492
knn_k1_norm	knn	down/26	0.5714285714285714	0.8174603174603174
knn_k1_norm	knn	down/22	0.5714285714285714	0.7777777777777778
knn_k1_norm	knn	v/24	0.5714285714285714	0.8174603174603174
knn_k3_norm	knn	v/24	0.5634920634920635	0.7777777777777778
knn_k1_norm	knn	up/27	0.5634920634920635	0.8095238095238095
knn_k1_norm	knn	down/11	0.5634920634920635	0.8253968253968254
knn_k3_norm	knn	gate/10	0.5555555555555556	0.746031746031746
