scoring	family	weight	step_acc	agent_acc
proj_c9_cen	svd	gate/4	0.8888888888888888	0.992063492063492
proj_c7_cen	svd	gate/4	0.8888888888888888	0.992063492063492
proj_c8_cen	svd	gate/4	0.8888888888888888	0.992063492063492
proj_c5_cen	svd	up/3	0.8809523809523809	0.9682539682539684
proj_c9_cen	svd	v/3	0.873015873015873	0.9761904761904762
recon_c4_cen	svd	o/0	0.873015873015873	0.984126984126984
recon_c5_raw	svd	o/0	0.8650793650793651	0.9761904761904762
recon_c2_cen	svd	q/0	0.8650793650793651	0.9761904761904762
proj_c6_cen	svd	gate/4	0.8650793650793651	0.992063492063492
recon_c7_raw	svd	o/0	0.8650793650793651	0.9761904761904762
recon_c5_cen	svd	o/0	0.8650793650793651	0.984126984126984
recon_c4_raw	svd	o/0	0.8650793650793651	0.9761904761904762
recon_c3_raw	svd	o/0	0.8650793650793651	0.9761904761904762
recon_c6_raw	svd	o/0	0.8650793650793651	0.9761904761904762
proj_c4_cen	svd	up/3	0.8650793650793651	0.9603174603174603
proj_c7_raw	svd	k/5	0.8650793650793651	0.992063492063492
proj_c4_cen	svd	gate/4	0.8650793650793651	0.9761904761904762
recon_c1_cen	svd	v/15	0.8650793650793651	0.9682539682539684
recon_c8_raw	svd	up/0	0.8650793650793651	0.9682539682539684
proj_c9_cen	svd	gate/0	0.8650793650793651	0.984126984126984
