weight	step_acc	agent_acc
q/8	1.0	1.0
k/11	1.0	1.0
k/1	1.0	1.0
v/5	1.0	1.0
q/1	1.0	1.0
in_norm/5	1.0	1.0
post_norm/7	1.0	1.0
gate/7	1.0	1.0
post_norm/0	1.0	1.0
o/2	1.0	1.0
v/3	1.0	1.0
q/9	1.0	1.0
up/10	1.0	1.0
up/13	1.0	1.0
gate/5	1.0	1.0
gate/3	1.0	1.0
post_norm/6	1.0	1.0
k/12	1.0	1.0
down/4	1.0	1.0
q/11	1.0	1.0
k/4	1.0	1.0
v/4	1.0	1.0
v/6	1.0	1.0
post_norm/12	1.0	1.0
o/1	1.0	1.0
post_norm/4	1.0	1.0
q/12	1.0	1.0
k/8	1.0	1.0
q/4	1.0	1.0
post_norm/8	1.0	1.0
gate/1	1.0	1.0
up/2	1.0	1.0
q/0	1.0	1.0
post_norm/5	1.0	1.0
k/21	1.0	1.0
gate/13	1.0	1.0
up/4	1.0	1.0
in_norm/28	1.0	1.0
gate/6	1.0	1.0
gate/10	1.0	1.0
k/2	1.0	1.0
post_norm/11	1.0	1.0
down/12	1.0	1.0
k/9	1.0	1.0
v/0	1.0	1.0
k/13	1.0	1.0
v/2	1.0	1.0
down/8	1.0	1.0
post_norm/29	1.0	1.0
down/3	1.0	1.0
gate/12	1.0	1.0
q/2	1.0	1.0
gate/8	1.0	1.0
up/5	1.0	1.0
k/10	1.0	1.0
o/28	1.0	1.0
in_norm/8	1.0	1.0
o/29	1.0	1.0
post_norm/2	1.0	1.0
k/5	1.0	1.0
down/6	1.0	1.0
v/12	1.0	1.0
o/0	1.0	1.0
lm_head	1.0	1.0
down/1	1.0	1.0
in_norm/14	1.0	1.0
in_norm/21	1.0	1.0
gate/4	1.0	1.0
k/7	1.0	1.0
down/17	1.0	1.0
down/2	1.0	1.0
k/6	1.0	1.0
down/5	1.0	1.0
v/11	1.0	1.0
down/7	1.0	1.0
v/7	1.0	1.0
k/18	1.0	1.0
k/3	1.0	1.0
post_norm/14	1.0	1.0
o/10	1.0	1.0
in_norm/12	1.0	1.0
down/25	1.0	1.0
gate/0	1.0	1.0
up/15	1.0	1.0
q/20	1.0	1.0
q/6	1.0	1.0
in_norm/0	1.0	1.0
in_norm/13	1.0	1.0
gate/17	1.0	1.0
down/26	1.0	1.0
up/0	1.0	1.0
q/28	1.0	1.0
post_norm/25	1.0	1.0
v/16	1.0	1.0
v/1	1.0	1.0
up/9	1.0	1.0
up/7	1.0	1.0
down/16	1.0	1.0
post_norm/15	1.0	1.0
post_norm/18	1.0	1.0
down/13	1.0	1.0
up/1	1.0	1.0
up/18	1.0	1.0
down/24	1.0	1.0
down/11	1.0	1.0
post_norm/1	1.0	1.0
q/19	1.0	1.0
up/11	1.0	1.0
q/13	1.0	1.0
q/31	1.0	1.0
down/9	1.0	1.0
v/13	1.0	1.0
v/14	1.0	1.0
embed	1.0	1.0
in_norm/7	1.0	1.0
in_norm/9	1.0	1.0
q/17	1.0	1.0
in_norm/25	1.0	1.0
q/5	1.0	1.0
q/3	1.0	1.0
up/19	1.0	1.0
gate/20	1.0	1.0
gate/22	1.0	1.0
up/29	1.0	1.0
gate/16	1.0	1.0
q/30	1.0	1.0
post_norm/23	1.0	1.0
k/15	1.0	1.0
k/17	1.0	1.0
k/30	1.0	1.0
post_norm/20	1.0	1.0
post_norm/3	1.0	1.0
post_norm/26	1.0	1.0
k/19	1.0	1.0
k/20	1.0	1.0
post_norm/10	1.0	1.0
post_norm/13	1.0	1.0
o/3	1.0	1.0
o/15	1.0	1.0
o/11	1.0	1.0
o/18	1.0	1.0
v/27	1.0	1.0
down/0	1.0	1.0
o/22	1.0	1.0
down/14	1.0	1.0
down/10	1.0	1.0
down/22	1.0	1.0
q/29	1.0	1.0
in_norm/19	1.0	1.0
