scoring	family	weight	step_acc	agent_acc
mean_dist_l2	central	k_norm/23	0.3412698412698413	0.5158730158730159
mean_dist_l1	central	q_norm/8	0.3333333333333333	0.5396825396825397
mean_dist_l2	central	in_norm/14	0.3174603174603174	0.4444444444444444
mean_dist_l2	central	gate/11	0.3174603174603174	0.492063492063492
mean_dist_l1	central	gate/11	0.3174603174603174	0.5079365079365079
mean_dist_l2	central	q_norm/9	0.3095238095238095	0.5873015873015873
mean_dist_l2	central	down/16	0.3015873015873015	0.4841269841269841
coord_median_l2	central	in_norm/28	0.3015873015873015	0.5238095238095238
geom_median_l2	central	in_norm/28	0.3015873015873015	0.5317460317460317
geom_median_l1	central	up/2	0.2936507936507936	0.5952380952380952
coord_median_l2	central	up/34	0.2936507936507936	0.492063492063492
mean_dist_l2	central	v/19	0.2936507936507936	0.4682539682539682
mean_dist_l1	central	q/3	0.2936507936507936	0.5317460317460317
mean_dist_l1	central	down/16	0.2936507936507936	0.4761904761904761
geom_median_l2	central	up/34	0.2936507936507936	0.4841269841269841
mean_dist_l2	central	o/10	0.2936507936507936	0.492063492063492
mean_dist_l2	central	in_norm/23	0.2936507936507936	0.4761904761904761
mean_dist_l2	central	q/3	0.2936507936507936	0.5079365079365079
mean_dist_l1	central	v/19	0.2936507936507936	0.4761904761904761
mean_dist_l1	central	q_norm/9	0.2936507936507936	0.5793650793650794
