scoring	family	weight	step_acc	agent_acc
mean_dist_cosine	central	v/28	0.5952380952380952	0.8174603174603174
mean_dist_cosine	central	v/29	0.5952380952380952	0.7936507936507936
mean_dist_cosine	central	down/24	0.5793650793650794	0.8571428571428571
mean_dist_cosine	central	k/22	0.5714285714285714	0.873015873015873
mean_dist_cosine	central	q/26	0.5714285714285714	0.7857142857142857
coord_median_cosine	central	post_norm/30	0.5634920634920635	0.7698412698412699
mean_dist_cosine	central	gate/22	0.5634920634920635	0.7698412698412699
mean_dist_cosine	central	k/33	0.5634920634920635	0.7936507936507936
geom_median_cosine	central	k/33	0.5634920634920635	0.8095238095238095
mean_dist_cosine	central	up/30	0.5634920634920635	0.7777777777777778
mean_dist_cosine	central	post_norm/30	0.5634920634920635	0.7857142857142857
mean_dist_cosine	central	v/23	0.5634920634920635	0.8015873015873016
coord_median_cosine	central	k/33	0.5634920634920635	0.8095238095238095
geom_median_cosine	central	post_norm/30	0.5555555555555556	0.7619047619047619
mean_dist_cosine	central	k/30	0.5555555555555556	0.873015873015873
mean_dist_cosine	central	down/22	0.5555555555555556	0.7301587301587301
mean_dist_cosine	central	post_norm/26	0.5555555555555556	0.7698412698412699
mean_dist_cosine	central	v/27	0.5555555555555556	0.8174603174603174
mean_dist_cosine	central	v/31	0.5555555555555556	0.7936507936507936
geom_median_cosine	central	up/30	0.5555555555555556	0.7698412698412699
