scoring	family	weight	step_acc	agent_acc
coord_median_cosine	central	k_norm/24	0.5517241379310345	0.8620689655172413
mean_dist_cosine	central	norm	0.5517241379310345	0.896551724137931
mean_dist_cosine	central	in_norm/35	0.5517241379310345	0.8103448275862069
coord_median_cosine	central	q_norm/35	0.5344827586206896	0.8448275862068966
mean_dist_cosine	central	q_norm/35	0.5344827586206896	0.8103448275862069
mean_dist_cosine	central	down/16	0.5172413793103449	0.9827586206896552
mean_dist_cosine	central	k/25	0.5172413793103449	0.7758620689655172
coord_median_cosine	central	post_norm/21	0.5172413793103449	0.8620689655172413
geom_median_cosine	central	post_norm/21	0.5172413793103449	0.8620689655172413
geom_median_cosine	central	q_norm/35	0.5172413793103449	0.8103448275862069
coord_median_cosine	central	q_norm/24	0.5172413793103449	0.8793103448275862
coord_median_cosine	central	v/26	0.5	0.7758620689655172
coord_median_cosine	central	down/26	0.5	0.8620689655172413
coord_median_cosine	central	v/18	0.5	0.8275862068965517
mean_dist_cosine	central	post_norm/21	0.5	0.896551724137931
mean_dist_cosine	central	v/18	0.5	0.8275862068965517
geom_median_cosine	central	down/26	0.5	0.8620689655172413
geom_median_cosine	central	v/18	0.5	0.8103448275862069
geom_median_cosine	central	post_norm/23	0.5	0.896551724137931
geom_median_cosine	central	k/25	0.5	0.8793103448275862
