scoring	family	weight	step_acc	agent_acc
mean_dist_l2	central	k_norm/23	0.3412698412698413	0.5158730158730159
mean_dist_l1	central	q_norm/8	0.3333333333333333	0.5396825396825397
proj_c5_cen	svd	q_norm/9	0.3333333333333333	0.6031746031746031
mean_dist_l2	central	in_norm/14	0.3174603174603174	0.4444444444444444
mean_dist_l1	central	gate/11	0.3174603174603174	0.5079365079365079
proj_c7_cen	svd	k/5	0.3174603174603174	0.5714285714285714
proj_c8_cen	svd	k/5	0.3174603174603174	0.5714285714285714
mean_dist_l2	central	gate/11	0.3174603174603174	0.492063492063492
proj_c4_cen	svd	k_norm/23	0.3174603174603174	0.5
mean_dist_l2	central	q_norm/9	0.3095238095238095	0.5873015873015873
proj_c3_raw	svd	q/32	0.3095238095238095	0.5476190476190477
proj_c9_cen	svd	k_norm/23	0.3095238095238095	0.5
proj_c4_raw	svd	q/32	0.3095238095238095	0.5396825396825397
proj_c5_raw	svd	q/32	0.3095238095238095	0.5396825396825397
proj_c9_raw	svd	q/32	0.3095238095238095	0.5476190476190477
proj_c9_cen	svd	k/5	0.3095238095238095	0.5555555555555556
coord_median_l2	central	in_norm/28	0.3015873015873015	0.5238095238095238
mean_dist_l2	central	down/16	0.3015873015873015	0.4841269841269841
proj_c5_raw	svd	v/27	0.3015873015873015	0.4841269841269841
geom_median_l2	central	in_norm/28	0.3015873015873015	0.5317460317460317
proj_c7_cen	svd	k/6	0.3015873015873015	0.492063492063492
proj_c6_raw	svd	q/32	0.3015873015873015	0.5396825396825397
proj_c8_cen	svd	k_norm/23	0.3015873015873015	0.492063492063492
proj_c8_raw	svd	q/32	0.3015873015873015	0.5396825396825397
knn_k1_raw	knn	gate/33	0.3015873015873015	0.5634920634920635
mean_dist_l2	central	v/19	0.2936507936507936	0.4682539682539682
geom_median_l1	central	up/2	0.2936507936507936	0.5952380952380952
coord_median_l2	central	up/34	0.2936507936507936	0.492063492063492
mean_dist_l1	central	q/3	0.2936507936507936	0.5317460317460317
geom_median_l2	central	up/34	0.2936507936507936	0.4841269841269841
mean_dist_l1	central	down/16	0.2936507936507936	0.4761904761904761
gradnorm_l2	gradnorm	q/32	0.2857142857142857	0.5476190476190477
knn_k1_raw	knn	down/33	0.2857142857142857	0.5158730158730159
gradnorm_l1	gradnorm	q/26	0.2777777777777778	0.5
gradnorm_l1	gradnorm	k_norm/34	0.2777777777777778	0.5238095238095238
gradnorm_l1	gradnorm	down/33	0.2777777777777778	0.4841269841269841
gradnorm_l2	gradnorm	q/16	0.2698412698412698	0.5
knn_k3_raw	knn	gate/33	0.2698412698412698	0.5396825396825397
gradnorm_l1	gradnorm	o/31	0.2619047619047619	0.492063492063492
gradnorm_l2	gradnorm	q/21	0.2619047619047619	0.492063492063492
gradnorm_l2	gradnorm	k_norm/34	0.2619047619047619	0.5079365079365079
gradnorm_l2	gradnorm	gate/27	0.2619047619047619	0.5
gradnorm_l2	gradnorm	q/27	0.2619047619047619	0.4444444444444444
gradnorm_l1	gradnorm	down/29	0.2619047619047619	0.5158730158730159
knn_k20_raw	knn	q/27	0.2619047619047619	0.5
knn_k3_norm	knn	k/13	0.2619047619047619	0.4603174603174603
gradnorm_l2	gradnorm	down/33	0.2619047619047619	0.5
knn_k1_raw	knn	q/26	0.2619047619047619	0.4841269841269841
knn_k3_raw	knn	down/33	0.2619047619047619	0.492063492063492
knn_k1_raw	knn	down/29	0.2619047619047619	0.5158730158730159
knn_k3_raw	knn	down/29	0.2619047619047619	0.5396825396825397
knn_k3_norm	knn	k/9	0.2619047619047619	0.4603174603174603
gradnorm_l2	gradnorm	k_norm/35	0.2539682539682539	0.4761904761904761
gradnorm_l2	gradnorm	q_norm/30	0.2539682539682539	0.492063492063492
gradnorm_l2	gradnorm	k_norm/28	0.2539682539682539	0.5238095238095238
knn_k1_norm	knn	up/2	0.2539682539682539	0.4523809523809524
knn_k10_raw	knn	q/26	0.2539682539682539	0.5079365079365079
knn_k10_raw	knn	gate/33	0.2539682539682539	0.5396825396825397
knn_k5_raw	knn	q/26	0.2539682539682539	0.4841269841269841
knn_k5_raw	knn	gate/33	0.2539682539682539	0.5317460317460317
