scoring	family	weight	step_acc	agent_acc
knn_k20_norm	knn	v/28	0.3412698412698413	0.492063492063492
knn_k3_norm	knn	v/28	0.3412698412698413	0.4682539682539682
knn_k5_norm	knn	v/28	0.3412698412698413	0.4761904761904761
knn_k10_norm	knn	v/28	0.3333333333333333	0.4841269841269841
knn_k1_norm	knn	v/28	0.3253968253968254	0.492063492063492
mean_dist_cosine	central	down/11	0.3015873015873015	0.5158730158730159
knn_k1_norm	knn	v/27	0.3015873015873015	0.4761904761904761
knn_k1_norm	knn	post_norm/27	0.2936507936507936	0.4285714285714285
knn_k10_norm	knn	v/27	0.2936507936507936	0.4841269841269841
knn_k5_norm	knn	v/27	0.2936507936507936	0.4841269841269841
knn_k5_norm	knn	post_norm/27	0.2936507936507936	0.3888888888888889
knn_k1_norm	knn	post_norm/34	0.2936507936507936	0.4603174603174603
knn_k3_norm	knn	v/27	0.2857142857142857	0.4523809523809524
knn_k10_norm	knn	post_norm/27	0.2857142857142857	0.3809523809523809
knn_k3_norm	knn	post_norm/27	0.2857142857142857	0.3888888888888889
knn_k3_norm	knn	post_norm/34	0.2857142857142857	0.4603174603174603
coord_median_cosine	central	down/11	0.2857142857142857	0.4206349206349206
geom_median_cosine	central	down/11	0.2857142857142857	0.4206349206349206
coord_median_cosine	central	o/32	0.2698412698412698	0.4761904761904761
mean_dist_cosine	central	norm	0.2698412698412698	0.5238095238095238
geom_median_cosine	central	o/32	0.2698412698412698	0.4761904761904761
coord_median_cosine	central	o/31	0.2539682539682539	0.4761904761904761
mean_dist_cosine	central	v/27	0.2539682539682539	0.3968253968253968
geom_median_cosine	central	o/31	0.2539682539682539	0.4761904761904761
mean_dist_cosine	central	o/32	0.246031746031746	0.4365079365079365
mean_dist_cosine	central	q/30	0.246031746031746	0.4365079365079365
mean_dist_cosine	central	k/26	0.246031746031746	0.4444444444444444
coord_median_cosine	central	o/34	0.2301587301587301	0.4523809523809524
mean_dist_cosine	central	o/34	0.2301587301587301	0.4682539682539682
mean_dist_cosine	central	q/29	0.2301587301587301	0.3968253968253968
proj_c1_cen	svd	down/25	0.1428571428571428	0.3253968253968254
proj_c1_cen	svd	down/11	0.0952380952380952	0.4047619047619047
proj_c1_raw	svd	q_norm/10	0.0952380952380952	0.3333333333333333
proj_c2_raw	svd	q_norm/10	0.0873015873015873	0.3333333333333333
proj_c1_cen	svd	norm	0.0873015873015873	0.3888888888888889
proj_c1_cen	svd	lm_head	0.0793650793650793	0.2857142857142857
proj_c6_raw	svd	q_norm/10	0.0793650793650793	0.3253968253968254
proj_c7_raw	svd	q_norm/10	0.0793650793650793	0.3253968253968254
proj_c3_raw	svd	q_norm/10	0.0793650793650793	0.3174603174603174
proj_c2_cen	svd	lm_head	0.0793650793650793	0.3095238095238095
proj_c8_raw	svd	q_norm/10	0.0793650793650793	0.3253968253968254
proj_c5_raw	svd	q_norm/10	0.0793650793650793	0.3333333333333333
proj_c1_cen	svd	q_norm/6	0.0793650793650793	0.2777777777777778
proj_c4_raw	svd	q_norm/10	0.0793650793650793	0.3333333333333333
proj_c9_raw	svd	q_norm/10	0.0793650793650793	0.3174603174603174
gradnorm_l2	gradnorm	q_norm/10	0.0714285714285714	0.3174603174603174
gradnorm_l1	gradnorm	q/8	0.0555555555555555	0.3095238095238095
gradnorm_l2	gradnorm	in_norm/24	0.0476190476190476	0.3253968253968254
gradnorm_l2	gradnorm	o/6	0.0476190476190476	0.3015873015873015
gradnorm_l2	gradnorm	gate/4	0.0476190476190476	0.2936507936507936
gradnorm_l2	gradnorm	in_norm/13	0.0476190476190476	0.2698412698412698
gradnorm_l1	gradnorm	o/6	0.0396825396825396	0.2936507936507936
gradnorm_l2	gradnorm	q/17	0.0396825396825396	0.2698412698412698
gradnorm_l1	gradnorm	q_norm/10	0.0396825396825396	0.2936507936507936
gradnorm_l1	gradnorm	gate/10	0.0396825396825396	0.3015873015873015
gradnorm_l1	gradnorm	up/15	0.0396825396825396	0.2539682539682539
gradnorm_l1	gradnorm	up/12	0.0396825396825396	0.2777777777777778
gradnorm_l1	gradnorm	gate/33	0.0396825396825396	0.2063492063492063
gradnorm_l1	gradnorm	q_norm/29	0.0396825396825396	0.2857142857142857
gradnorm_l2	gradnorm	q/14	0.0396825396825396	0.2857142857142857
