scoring	family	weight	step_acc	agent_acc
gradnorm_l1	gradnorm	q/26	1.0	1.0
gradnorm_l1	gradnorm	down/33	1.0	1.0
gradnorm_l1	gradnorm	k_norm/34	1.0	1.0
gradnorm_l1	gradnorm	down/29	1.0	1.0
gradnorm_l1	gradnorm	o/31	1.0	1.0
gradnorm_l1	gradnorm	q/27	1.0	1.0
gradnorm_l1	gradnorm	gate/27	1.0	1.0
gradnorm_l1	gradnorm	gate/34	1.0	1.0
gradnorm_l1	gradnorm	down/15	1.0	1.0
gradnorm_l1	gradnorm	o/26	1.0	1.0
gradnorm_l1	gradnorm	up/25	1.0	1.0
gradnorm_l1	gradnorm	o/28	1.0	1.0
gradnorm_l1	gradnorm	o/23	1.0	1.0
gradnorm_l1	gradnorm	q/34	1.0	1.0
gradnorm_l1	gradnorm	up/34	1.0	1.0
gradnorm_l1	gradnorm	q_norm/34	1.0	1.0
gradnorm_l1	gradnorm	down/26	1.0	1.0
gradnorm_l1	gradnorm	q/35	1.0	1.0
gradnorm_l1	gradnorm	q_norm/28	1.0	1.0
gradnorm_l1	gradnorm	gate/33	1.0	1.0
