scoring	family	weight	step_acc	agent_acc
gradnorm_l2	gradnorm	up/3	0.1551724137931034	0.4137931034482758
gradnorm_l2	gradnorm	up/4	0.1551724137931034	0.3793103448275862
gradnorm_l2	gradnorm	gate/2	0.1551724137931034	0.3793103448275862
gradnorm_l2	gradnorm	v/1	0.1379310344827586	0.3793103448275862
gradnorm_l2	gradnorm	in_norm/3	0.1379310344827586	0.3620689655172414
gradnorm_l2	gradnorm	gate/29	0.1379310344827586	0.3793103448275862
gradnorm_l2	gradnorm	in_norm/15	0.1379310344827586	0.3793103448275862
gradnorm_l2	gradnorm	q/30	0.1379310344827586	0.3793103448275862
gradnorm_l2	gradnorm	up/2	0.1379310344827586	0.4137931034482758
gradnorm_l2	gradnorm	k_norm/14	0.1379310344827586	0.3793103448275862
gradnorm_l2	gradnorm	gate/35	0.1379310344827586	0.3793103448275862
gradnorm_l2	gradnorm	k/8	0.1379310344827586	0.396551724137931
gradnorm_l2	gradnorm	k/3	0.1379310344827586	0.3793103448275862
gradnorm_l2	gradnorm	in_norm/7	0.1379310344827586	0.4137931034482758
gradnorm_l2	gradnorm	k/32	0.1379310344827586	0.3793103448275862
gradnorm_l2	gradnorm	q_norm/33	0.1379310344827586	0.3793103448275862
gradnorm_l2	gradnorm	q/13	0.1379310344827586	0.396551724137931
gradnorm_l2	gradnorm	v/2	0.1379310344827586	0.4137931034482758
gradnorm_l2	gradnorm	q/32	0.1379310344827586	0.4137931034482758
gradnorm_l2	gradnorm	q_norm/28	0.1379310344827586	0.4137931034482758
