scoring	family	weight	step_acc	agent_acc
knn_k3_norm	knn	v/28	0.3412698412698413	0.4682539682539682
knn_k5_norm	knn	v/28	0.3412698412698413	0.4761904761904761
knn_k20_norm	knn	v/28	0.3412698412698413	0.492063492063492
knn_k10_norm	knn	v/28	0.3333333333333333	0.4841269841269841
knn_k1_norm	knn	v/28	0.3253968253968254	0.492063492063492
knn_k1_norm	knn	v/27	0.3015873015873015	0.4761904761904761
knn_k10_norm	knn	v/27	0.2936507936507936	0.4841269841269841
knn_k1_norm	knn	post_norm/27	0.2936507936507936	0.4285714285714285
knn_k1_norm	knn	post_norm/34	0.2936507936507936	0.4603174603174603
knn_k5_norm	knn	v/27	0.2936507936507936	0.4841269841269841
knn_k5_norm	knn	post_norm/27	0.2936507936507936	0.3888888888888889
knn_k3_norm	knn	v/27	0.2857142857142857	0.4523809523809524
knn_k3_norm	knn	post_norm/34	0.2857142857142857	0.4603174603174603
knn_k10_norm	knn	post_norm/27	0.2857142857142857	0.3809523809523809
knn_k3_norm	knn	post_norm/27	0.2857142857142857	0.3888888888888889
knn_k5_norm	knn	post_norm/34	0.2857142857142857	0.4285714285714285
knn_k1_norm	knn	o/34	0.2857142857142857	0.5158730158730159
knn_k20_norm	knn	v/27	0.2857142857142857	0.4761904761904761
knn_k5_norm	knn	up/26	0.2857142857142857	0.3968253968253968
knn_k1_norm	knn	o/32	0.2857142857142857	0.4682539682539682
