scoring	family	weight	step_acc	agent_acc
proj_c1_cen	svd	down/25	0.4444444444444444	0.7380952380952381
proj_c1_cen	svd	down/24	0.4365079365079365	0.8015873015873016
proj_c1_cen	svd	norm	0.4365079365079365	0.753968253968254
proj_c2_cen	svd	down/11	0.4365079365079365	0.7936507936507936
proj_c1_cen	svd	k/33	0.4126984126984127	0.7936507936507936
proj_c1_cen	svd	down/11	0.4126984126984127	0.8015873015873016
proj_c1_cen	svd	post_norm/25	0.3888888888888889	0.7698412698412699
proj_c1_cen	svd	down/12	0.3809523809523809	0.7619047619047619
proj_c1_cen	svd	v/26	0.3809523809523809	0.7777777777777778
proj_c3_cen	svd	down/11	0.3809523809523809	0.7301587301587301
proj_c6_cen	svd	down/11	0.3809523809523809	0.7142857142857143
proj_c1_cen	svd	down/15	0.3809523809523809	0.7936507936507936
proj_c4_cen	svd	down/11	0.3809523809523809	0.7142857142857143
proj_c1_cen	svd	k_norm/34	0.373015873015873	0.7063492063492064
proj_c1_cen	svd	down/17	0.373015873015873	0.7301587301587301
proj_c1_cen	svd	k/27	0.373015873015873	0.8412698412698413
proj_c1_cen	svd	post_norm/26	0.373015873015873	0.8095238095238095
proj_c1_cen	svd	v/27	0.365079365079365	0.7142857142857143
proj_c2_cen	svd	post_norm/27	0.365079365079365	0.7777777777777778
proj_c2_cen	svd	k_norm/34	0.365079365079365	0.6984126984126984
