subset	layer	step@1	step@5	step@10	agent@1	agent@5	agent@10
hand-crafted	layer_0	0.00 / 0.00	10.34 / 12.07	15.52 / 15.52	29.31 / 29.31	46.55 / 46.55	68.97 / 68.97
hand-crafted	layer_1	0.00 / 0.00	10.34 / 10.34	15.52 / 15.52	29.31 / 24.14	46.55 / 46.55	68.97 / 68.97
hand-crafted	layer_2	0.00 / 0.00	10.34 / 13.79	17.24 / 17.24	29.31 / 29.31	46.55 / 46.55	68.97 / 68.97
hand-crafted	layer_3	0.00 / 0.00	10.34 / 12.07	15.52 / 17.24	29.31 / 29.31	46.55 / 46.55	68.97 / 68.97
hand-crafted	layer_4	0.00 / 0.00	12.07 / 12.07	17.24 / 17.24	29.31 / 29.31	46.55 / 46.55	68.97 / 68.97
hand-crafted	layer_5	0.00 / 0.00	12.07 / 12.07	15.52 / 17.24	29.31 / 29.31	44.83 / 46.55	68.97 / 68.97
hand-crafted	layer_6	0.00 / 0.00	12.07 / 12.07	15.52 / 17.24	29.31 / 29.31	44.83 / 44.83	68.97 / 68.97
hand-crafted	layer_7	0.00 / 0.00	12.07 / 12.07	13.79 / 17.24	29.31 / 29.31	44.83 / 44.83	68.97 / 68.97
hand-crafted	layer_8	0.00 / 0.00	12.07 / 12.07	13.79 / 13.79	29.31 / 25.86	44.83 / 44.83	68.97 / 68.97
hand-crafted	layer_9	0.00 / 0.00	12.07 / 12.07	13.79 / 13.79	24.14 / 22.41	44.83 / 44.83	68.97 / 68.97
hand-crafted	layer_10	0.00 / 0.00	12.07 / 12.07	13.79 / 13.79	24.14 / 22.41	44.83 / 44.83	68.97 / 68.97
hand-crafted	layer_11	0.00 / 0.00	12.07 / 12.07	15.52 / 13.79	22.41 / 20.69	44.83 / 44.83	68.97 / 68.97
hand-crafted	layer_12	0.00 / 0.00	12.07 / 12.07	15.52 / 15.52	18.97 / 18.97	44.83 / 44.83	68.97 / 68.97
hand-crafted	layer_13	0.00 / 0.00	12.07 / 12.07	15.52 / 13.79	18.97 / 17.24	44.83 / 44.83	68.97 / 68.97
hand-crafted	layer_14	0.00 / 0.00	12.07 / 12.07	13.79 / 13.79	17.24 / 18.97	44.83 / 44.83	68.97 / 68.97
hand-crafted	layer_15	0.00 / 0.00	12.07 / 12.07	13.79 / 13.79	15.52 / 17.24	44.83 / 44.83	68.97 / 68.97
hand-crafted	layer_16	0.00 / 0.00	12.07 / 12.07	13.79 / 13.79	12.07 / 13.79	43.10 / 44.83	68.97 / 68.97
hand-crafted	layer_17	0.00 / 0.00	10.34 / 12.07	13.79 / 13.79	10.34 / 12.07	43.10 / 43.10	68.97 / 68.97
hand-crafted	layer_18	0.00 / 0.00	10.34 / 10.34	13.79 / 13.79	8.62 / 10.34	43.10 / 43.10	68.97 / 68.97
hand-crafted	layer_19	0.00 / 0.00	10.34 / 10.34	13.79 / 13.79	8.62 / 12.07	43.10 / 43.10	68.97 / 68.97
hand-crafted	layer_20	0.00 / 0.00	10.34 / 10.34	13.79 / 13.79	8.62 / 10.34	43.10 / 43.10	68.97 / 68.97
hand-crafted	layer_21	0.00 / 0.00	10.34 / 10.34	13.79 / 13.79	8.62 / 13.79	41.38 / 43.10	67.24 / 68.97
hand-crafted	layer_22	0.00 / 0.00	10.34 / 10.34	17.24 / 15.52	8.62 / 13.79	41.38 / 43.10	67.24 / 68.97
hand-crafted	layer_23	0.00 / 0.00	10.34 / 10.34	17.24 / 15.52	8.62 / 10.34	41.38 / 43.10	65.52 / 68.97
hand-crafted	layer_24	0.00 / 0.00	10.34 / 10.34	17.24 / 17.24	8.62 / 13.79	41.38 / 43.10	65.52 / 68.97
hand-crafted	layer_25	0.00 / 0.00	10.34 / 10.34	17.24 / 17.24	6.90 / 8.62	41.38 / 41.38	65.52 / 68.97
hand-crafted	layer_26	0.00 / 0.00	10.34 / 10.34	17.24 / 18.97	6.90 / 8.62	41.38 / 41.38	67.24 / 68.97
hand-crafted	layer_27	0.00 / 0.00	10.34 / 10.34	18.97 / 15.52	6.90 / 8.62	41.38 / 41.38	67.24 / 67.24
hand-crafted	layer_28	0.00 / 0.00	10.34 / 10.34	18.97 / 15.52	8.62 / 8.62	41.38 / 41.38	67.24 / 68.97
hand-crafted	layer_29	0.00 / 0.00	8.62 / 8.62	18.97 / 15.52	6.90 / 6.90	41.38 / 36.21	67.24 / 63.79
hand-crafted	layer_30	0.00 / 0.00	12.07 / 10.34	18.97 / 13.79	6.90 / 8.62	41.38 / 41.38	67.24 / 70.69
hand-crafted	layer_31	1.72 / 1.72	10.34 / 12.07	13.79 / 13.79	10.34 / 17.24	43.10 / 43.10	68.97 / 70.69
hand-crafted	lm_head	0.00 / 3.45	8.62 / 12.07	24.14 / 13.79	5.17 / 24.14	39.66 / 43.10	62.07 / 70.69
algorithm-generated	layer_0	1.59 / 2.38	35.71 / 36.51	100.00 / 100.00	24.60 / 24.60	72.22 / 72.22	100.00 / 100.00
algorithm-generated	layer_1	1.59 / 1.59	37.30 / 38.10	100.00 / 100.00	24.60 / 25.40	74.60 / 74.60	100.00 / 100.00
algorithm-generated	layer_2	1.59 / 0.79	39.68 / 38.10	100.00 / 100.00	24.60 / 23.81	75.40 / 72.22	100.00 / 100.00
algorithm-generated	layer_3	1.59 / 1.59	38.10 / 38.10	100.00 / 100.00	24.60 / 23.81	74.60 / 74.60	100.00 / 100.00
algorithm-generated	layer_4	1.59 / 1.59	37.30 / 37.30	100.00 / 100.00	24.60 / 24.60	74.60 / 73.02	100.00 / 100.00
algorithm-generated	layer_5	1.59 / 0.79	38.89 / 37.30	100.00 / 100.00	25.40 / 25.40	75.40 / 73.81	100.00 / 100.00
algorithm-generated	layer_6	0.79 / 0.79	38.89 / 37.30	100.00 / 100.00	25.40 / 26.98	76.19 / 74.60	100.00 / 100.00
algorithm-generated	layer_7	0.79 / 0.79	38.10 / 37.30	100.00 / 100.00	26.98 / 26.98	75.40 / 73.81	100.00 / 100.00
algorithm-generated	layer_8	0.79 / 1.59	36.51 / 35.71	100.00 / 100.00	26.98 / 26.98	74.60 / 74.60	100.00 / 100.00
