loss	norm	weight	step_acc	agent_acc
ntp	l2	lm_head	0.2241	0.6379
ntp	l2	v/35	0.2241	0.569
ntp	l2	mlp/35	0.2241	0.569
ntp	l2	up/35	0.2069	0.5862
ntp	l1	v/24	0.2069	0.569
ntp	l1	q/30	0.2069	0.5517
ntp	l2	down/35	0.2069	0.5517
ntp	l2	gate/32	0.2069	0.5517
ntp	l2	k/21	0.2069	0.5172
ntp	l2	attn/21	0.2069	0.4828
ntp	l1	mlp/32	0.1897	0.5517
ntp	l1	up/32	0.1897	0.5517
ntp	l2	gate/29	0.1897	0.5517
ntp	l2	v/24	0.1897	0.5517
ntp	l1	k/24	0.1897	0.5345
ntp	l1	k/21	0.1897	0.5345
ntp	l2	gate/31	0.1897	0.5345
ntp	l1	k/30	0.1897	0.5172
ntp	l1	q/28	0.1897	0.5
ntp	l2	gate/35	0.1897	0.5
ntp	l2	layer/21	0.1897	0.5
ntp	l2	q/16	0.1724	0.5517
ntp	l1	down/33	0.1724	0.5345
ntp	l1	up/33	0.1724	0.5345
ntp	l1	gate/33	0.1724	0.5345
ntp	l1	attn/30	0.1724	0.5345
ntp	l2	down/29	0.1724	0.5345
ntp	l2	down/27	0.1724	0.5345
ntp	l2	down/28	0.1724	0.5345
ntp	l2	mlp/27	0.1724	0.5345
ntp	l2	gate/28	0.1724	0.5345
ntp	l2	mlp/28	0.1724	0.5345
ntp	l1	mlp/33	0.1724	0.5172
ntp	l1	gate/34	0.1724	0.5172
ntp	l2	o/35	0.1724	0.5172
ntp	l2	mlp/31	0.1724	0.5172
ntp	l2	gate/30	0.1724	0.5172
ntp	l2	attn/24	0.1724	0.5172
ntp	l2	up/31	0.1724	0.5172
ntp	l2	down/30	0.1724	0.5172
ntp	l2	attn/28	0.1724	0.5172
ntp	l2	up/32	0.1724	0.5172
ntp	l2	mlp/29	0.1724	0.5172
ntp	l2	v/27	0.1724	0.5172
ntp	l2	layer/27	0.1724	0.5172
ntp	l1	k/28	0.1724	0.5
ntp	l1	v/25	0.1724	0.5
ntp	l1	o/28	0.1724	0.5
ntp	l1	v/27	0.1724	0.5
ntp	l2	down/34	0.1724	0.5
